Year	Month	Monthly_MSL
1963	8	6.978
1963	9	6.995
1963	10	7.015
1963	11	7.125
1963	12	6.988
1964	1	6.955
1964	2	6.994
1964	3	6.961
1964	4	6.991
1964	5	7.057
1964	6	7.043
1964	7	7.023
1964	8	6.991
1964	9	7.032
1964	10	6.933
1964	11	6.976
1964	12	6.927
1965	1	6.967
1965	2	6.829
1965	3	6.943
1965	4	6.961
1965	5	7.018
1965	6	7.036
1965	7	6.986
1965	8	6.972
1965	9	7.007
1965	10	6.982
1965	11	6.973
1965	12	7.006
1966	1	6.949
1966	2	7.137
1966	3	7.041
1966	4	7.004
1966	5	7.024
1966	6	7.049
1966	7	7.044
1966	8	7.027
1966	9	7.068
1966	10	7.021
1966	11	6.939
1966	12	7.022
1967	1	6.937
1967	2	7.103
1967	3	7.178
1967	4	6.994
1967	5	7.073
1967	6	6.985
1967	7	6.995
1967	8	7.012
1967	9	7.023
1967	10	7.152
1967	11	6.988
1967	12	6.967
1968	1	6.96
1968	2	6.936
1968	3	7.062
1968	4	7
1968	5	7.016
1968	6	7.103
1968	7	6.96
1968	8	6.978
1968	9	7.039
1968	10	7.075
1968	11	7.042
1968	12	6.999
1969	1	7.055
1969	2	6.954
1969	3	6.977
1969	4	7.025
1969	5	7.062
1969	6	7.055
1969	7	7.035
1969	8	7.024
1969	9	7.032
1969	10	7.055
1969	11	7.086
1969	12	6.869
1970	1	7.051
1970	2	7.033
1970	3	7
1970	4	7.044
1970	5	7.026
1970	6	7.012
1970	7	7.065
1970	8	7.021
1970	9	7.053
1970	10	6.997
1970	11	7.055
1970	12	6.916
1971	1	7.095
1971	2	7.003
1971	3	6.98
1971	4	7.01
1971	5	7.063
1971	6	7.018
1971	7	6.989
1971	8	7.024
1971	9	6.934
1971	10	6.994
1971	11	6.964
1971	12	6.976
1972	1	6.93
1972	2	6.972
1972	3	6.994
1972	4	7.03
1972	5	7.048
1972	6	7.089
1972	7	6.977
1972	8	6.969
1972	9	6.938
1972	10	6.959
1972	11	7.061
1972	12	7.051
1973	1	6.94
1973	2	7.019
1973	3	7.008
1973	4	6.916
1973	5	6.99
1973	6	6.981
1973	7	6.983
1973	8	6.946
1973	9	6.964
1973	10	6.875
1973	11	6.992
1973	12	6.971
1974	1	7.143
1974	2	7.03
1974	3	6.902
1974	4	6.851
1974	5	6.98
1974	6	7.02
1974	7	7.02
1974	8	6.968
1974	9	7.058
1974	10	6.882
1974	11	6.957
1974	12	7.056
1975	1	7.126
1975	2	6.896
1975	3	6.925
1975	4	6.909
1975	5	6.889
1975	6	6.888
1975	7	6.932
1975	8	6.915
1975	9	7.016
1975	10	6.963
1975	11	6.95
1975	12	7.021
1976	1	7.021
1976	2	7.021
1976	3	7.022
1976	4	7.022
1976	5	7.022
1976	6	7.022
1976	7	7.022
1976	8	7.022
1976	9	7.022
1976	10	7.022
1976	11	7.022
1976	12	7.022
1977	1	7.022
1977	2	7.022
1977	3	7.022
1977	4	7.022
1977	5	7.022
1977	6	7.022
1977	7	7.022
1977	8	7.023
1977	9	7.023
1977	10	7.023
1977	11	7.023
1977	12	7.023
1978	1	7.023
1978	2	7.023
1978	3	7.023
1978	4	7.023
1978	5	7.023
1978	6	7.023
1978	7	7.023
1978	8	7.023
1978	9	7.023
1978	10	7.023
1978	11	7.023
1978	12	7.024
1979	1	7.024
1979	2	7.024
1979	3	7.024
1979	4	7.024
1979	5	7.024
1979	6	7.024
1979	7	7.024
1979	8	7.024
1979	9	7.024
1979	10	7.024
1979	11	7.024
1979	12	7.024
1980	1	7.024
1980	2	7.024
1980	3	7.024
1980	4	7.024
1980	5	7.022
1980	6	7.108
1980	7	7.075
1980	8	7.025
1980	9	7.012
1980	10	6.988
1980	11	6.938
1980	12	7.006
1981	1	6.884
1981	2	6.939
1981	3	7.044
1981	4	6.845
1981	5	7.004
1981	6	6.992
1981	7	6.971
1981	8	6.947
1981	9	7.014
1981	10	7.003
1981	11	7.019
1981	12	6.988
1982	1	6.953
1982	2	7.048
1982	3	7.006
1982	4	6.989
1982	5	6.97
1982	6	6.931
1982	7	6.926
1982	8	7.031
1982	9	7.017
1982	10	7.045
1982	11	7.026
1982	12	7.02
1983	1	7.143
1983	2	6.875
1983	3	7.066
1983	4	7.028
1983	5	7.084
1983	6	6.989
1983	7	6.981
1983	8	6.907
1983	9	6.978
1983	10	7.096
1983	11	7.011
1983	12	7.074
1984	1	6.84
1984	2	7.027
1984	3	6.893
1984	4	6.985
1984	5	6.986
1984	6	6.983
1984	7	6.955
1984	8	6.917
1984	9	7.001
1984	10	7.072
1984	11	7.148
1984	12	7.02
1985	1	6.994
1985	2	7.001
1985	3	7.032
1985	4	7.105
1985	5	7.014
1985	6	7.052
1985	7	7.067
1985	8	7.106
1985	9	7.035
1985	10	6.978
1985	11	6.953
1985	12	7.104
1986	1	7.018
1986	2	6.834
1986	3	7.079
1986	4	6.956
1986	5	7.115
1986	6	6.993
1986	7	7.065
1986	8	6.986
1986	9	6.99
1986	10	7.084
1986	11	7.072
1986	12	7.062
1987	1	6.857
1987	2	6.995
1987	3	6.969
1987	4	7.02
1987	5	6.994
1987	6	7.002
1987	7	7.027
1987	8	7.033
1987	9	7.117
1987	10	7.062
1987	11	6.992
1987	12	7.051
1988	1	7.113
1988	2	7.054
1988	3	7.044
1988	4	6.986
1988	5	7.027
1988	6	7.012
1988	7	7.094
1988	8	7.092
1988	9	7.083
1988	10	7.007
1988	11	7.056
1988	12	7.061
1989	1	7.15
1989	2	7.229
1989	3	7.165
1989	4	7.015
1989	5	7.048
1989	6	7.027
1989	7	6.991
1989	8	7.12
1989	9	7.051
1989	10	7.063
1989	11	7.036
1989	12	7.107
1990	1	7.21
1990	2	7.336
1990	3	7.171
1990	4	7.066
1990	5	6.987
1990	6	7.077
1990	7	7.03
1990	8	7.071
1990	9	7.047
1990	10	7.097
